Mer Number,Cust-Code,Customer,Cust Part No,Date,Stock,Alloc Stock,Location,PCB Type,Fixture,New1,Partfinished,Notes,Spare1,Spare2,ISSUE LEVEL,Date3,Spare4,Spare5,Spare6,MAT,Fecreator,Toolingdate,Sparealpha,Sparenum,Fulldesc,S1,S2,S3,S4,Sd,Sdd,Newalp,Newalp2,Contimp ,Aalpha,Aalpha2,Numm1,Numm2,Qty Bonds,Qty drills ,Qty layers,Comments,Spared,Spared2,Sparen,Spaa,Spab,Tech,x
K50191,NC003,NCAB Group SWEDEN AB,4127194,09/07/2024,,,,SS,,,,,Use Foil,,1/A,,,ML10A,OGEL,NOBUILD,SGJ,30/07/2024,Merlin,1,,,,,,,,,,No,,Up Issue,,4,,,,,,,,No,,,x
K50219,NC007,NCAB GROUP IBERIA S.A.U.,8S14508D 837ET131000,22/07/2024,18,,34,8LYR,19401,,,,Use Foil,,1,,,ML15D,OGEL,NOBUILD,SGJ,01/08/2024,Merlin,8,,,,,,,,,Y,Yes,,New,,4,,,,,,,,No,,,x
K50235,TH021,Thales Nederland B.V.,Apply Silkscreen,26/07/2024,,,,thales_i,,,,,Use Foil,,1,,,ML5b,OGEL,NOBUILD,NDB,20/08/2024,Merlin,2,,,,,,,,,,,,,,4,,,,,,,,,,,x
K50236,RE008,Renishaw PLC,M-9961-1051-01 A RLD CABLE ADAPTOR RIGID PCB,29/07/2024,,,,PTH,,,,,Use CAC,,A,,,ML10A,OGEL,NOBUILD,HM,30/07/2024,Atoy,2,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K50283,NC003,NCAB Group SWEDEN AB,10W30277 8081320,16/08/2024,,,,ml_pnl20,19515,,,,Use Foil,,K,,,ML5b,OGEL,NOBUILD,DF,07/10/2024,Merlin,10,,,,,,,,,Y,No,,Re-Tool,,4,,,,,,,,,,,x
K50298,NC005,NCAB Group Norway,4WA22321 4045914 60222605-00,21/08/2024,,,,4LYR,,,,,Use Foil,x,C,,,ML5b,OGEL,NOBUILD,HM,27/08/2024,Anne,4,,,,,,,,,,No,,New,,4,,,,,,,,,,,x
K50300,NC003,NCAB Group SWEDEN AB,8W30282 4118106,21/08/2024,,,,8LYR,,,,,Use Foil,,1,,,ML10A,OGEL,NOBUILD,TM,04/09/2024,Jen,8,,,,,,,,,Y,No,,Up Issue,,4,,,,,,,,,,,x
K50301,NC003,NCAB Group SWEDEN AB,10W30284 4118503,21/08/2024,3,,40,10LYR,,,,,Use CAC,,1,,,ML10A,OGEL,NOBUILD,TM,04/09/2024,Atoy,10,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K50302,NC003,NCAB Group SWEDEN AB,4W30290 4183037 (TVKM2190071 R3),21/08/2024,,,,4LYR,,,,,Use CAC,,1,,,ML5b,OGEL,K46685,HM,06/09/2024,Atoy,4,,Yes,,,,,,,Y,No,,Re-Tool,,4,,,,,,,,,,,x
K50325,CO050,Confidee AS,ART04482 TEST SAMPLE 9101936-3 Test sample 60271328-00-C,30/08/2024,,,,PV_BP_P,,,,,Use Foil,x,C,,,,Yes,NOBUILD,DF,04/09/2024,Merlin,8,,,,,,,,,Y,No,,New,,,,,,,,,,,,,x
K50326,NC003,NCAB Group SWEDEN AB,2W30305 8408220-004 A,30/08/2024,20,,38A,PTH,,,,,Use Foil,,A,,,ML10A,OGEL,NOBUILD,SGJ,06/09/2024,Merlin,2,,Yes,,,,,,,Y,No,,New,,4,,,,,,,,No,,,x
K50328,NC003,NCAB Group SWEDEN AB,2W30313 8081953,30/08/2024,,,,PTH,,,,,Use Foil,,No Iss,,,ML2A,SIEL,NOBUILD,HM,20/09/2024,Anne,2,,,,,,,,,,No,,Up Issue,,2,,,,,,,,,,,x
K50347,NC003,NCAB Group SWEDEN AB,16W30333 EP4989A Rev A,06/09/2024,,,,PV_BP,19458/19459,,,,Use CAC,,A,,,ML10A,OGEL,NOBUILD,TM,16/09/2024,Anne,16,,,,,,,,,Y,Yes,,New,,4,,,,,,,,,,,x
K50349,NC003,NCAB Group SWEDEN AB,ELM0083002 8081196,06/09/2024,,,,4LYR,,,,,Use Foil,,2,,,ML5b,OGEL,NOBUILD,TM,28/10/2024,Merlin,4,,,,,,,,,,No,,Re-Tool,,4,,,,,,,,,,,x
K50350,NC003,NCAB Group SWEDEN AB,10W30332 5013177I,09/09/2024,,,,ml_pnl20,19520,,,,Use Foil,,L,,,ML4A,OGEL,NOBUILD,DF,10/10/2024,Merlin,10,,,,,,,,,Y,No,,Up Issue,,6,,,,,,,,,,,x
K50368,NC003,NCAB Group SWEDEN AB,4W30343 5013388F,16/09/2024,,,,PV_BPX,,,,,Use CAC,,6,,,,SIEL,NOBUILD,HM,18/09/2024,Atoy,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K50369,NC003,NCAB Group SWEDEN AB,6W30345 5013396F,16/09/2024,,,,PV_BPX,,,,,Use CAC,,6,,,,SIEL,NOBUILD,TM,19/09/2024,Anne,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K50373,NC007,NCAB GROUP IBERIA S.A.U.,4S14633D 236000349 FD EXT V2.0,17/09/2024,,,,4LYR,,,,,,,2,,,ML11A,OGEL,NOBUILD,,18/09/2024,Anne,4,,,,,,,,,,No,,New,,4,,,,,,,,,,,x
K50379,NC003,NCAB Group SWEDEN AB,8W30354 401038903_A,19/09/2024,5,,44A,8LYR,19494/19500,,,,Use CAC,,A,,,ML18A,OGEL,NOBUILD,HM,23/09/2024,Jen,8,,,,,,,,,Y,No,ITAR,New,,6,,,,,,,,,,,x
K50383,CO050,Confidee AS,ART04608 4184347 PCB SDU LMM Power State 64003256-01 Rev.-,20/09/2024,,,,4PV,,,,,,,No Iss,,,,Yes,,,,,4,,,,,,,,,,No,ITAR,New,,,,,,,,,,,,,x
K50384,NC003,NCAB Group SWEDEN AB,10W30361 EP5212A,23/09/2024,9,,42,PV_BP,19471,,,,Use CAC,,A,,,ML18a,OGEL,NOBUILD,HM,25/09/2024,Jen,10,,,,,,,,,Y,Yes,,New,,6,,,,,,,,,,,x
K50385,NC003,NCAB Group SWEDEN AB,ELM0073957 8081110,23/09/2024,,,,6PV,,,,,,,3,,,ML5b,OGEL,K50385,,,,6,,,,,,,,,,No,,Re-Tool,,4,,,,,,,,,,,x
K50396,NC005,NCAB Group Norway,6WA22455 196285 Controller board 601185,26/09/2024,,,,PV_BP,,,,,Use Foil,,No Iss,,,ML9A,OGEL,NOBUILD,DF,01/10/2024,Merlin,6,,,,,,,,,Y,No,,Up Issue,,4,,,,,,,,,,,x
K50401,NC005,NCAB Group Norway,4WA22321 4045914 60222605-00 Rev C,27/09/2024,,,,4LYR,,,,,Use Foil,,C,,,ML5A,OGEL,NOBUILD,SGJ,01/10/2024,Merlin,4,,,,,,,,,Y,No,,Up Issue,,4,,,,,,,,No,,,x
K50404,CO050,Confidee AS,ART04739 196280 PCB KDA SIP FAB 1/UP 6L,27/09/2024,,,,6LYR,,,,,Use CAC,,-,,,ML9A,OGEL,NOBUILD,SGJ,29/10/2024,Merlin,6,,,,,,,,,,No,,New,,4,,,,,,,,No,,,x
K50410,NC003,NCAB Group SWEDEN AB,16W30378 EP4990A,30/09/2024,,,,PV_BP,19522,,,,Use CAC,,A,,,ML10A,OGEL,NOBUILD,NDB,17/10/2024,Merlin,16,,,,,,,,,,Yes,,New,,4,,,,,,,,,,,x
K50412,CO050,Confidee AS,ART04573 9102048-3 PCB 22-10024-06.1,30/09/2024,,,,PV_BPX,,,,,Use CAC,,3,,,ML5b,OGEL,NOBUILD,NDB,18/10/2024,Merlin,6,,,,,,,,,,Yes,,Re-Tool,,4,,,,,,,,,,,x
K50422,NC003,NCAB Group SWEDEN AB,4W30381 TVKM1170606 P1A,02/10/2024,14,,41,4LYR,,,,,Use CAC,,A,,,ML,OGEL,NOBUILD,SGJ,03/10/2024,Merlin,4,,,,,,,,,Y,No,,New,,6,,,,,,,,No,,,x
K50442,NC003,NCAB Group SWEDEN AB,6W30395 5013627A,08/10/2024,,,,PV_BP,,,,,Use CAC,,No Iss,,,ML5b,OGEL,NOBUILD,HM,16/10/2024,Atoy,6,,,,,,,,,,No,,New,,4,,,,,,,,,,,x
K50444,NC003,NCAB Group SWEDEN AB,2W30396 401031225_B,08/10/2024,,,,PTH,,,,,Use Foil,,B,,,,Yes,NOBUILD,TM,17/10/2024,Anne,2,,,,,,,,,Y,No,,Up Issue,,,,,,,,,,,,,x
K50452,CO050,Confidee AS,ART04570 9102050A PCB 22-10025-02HX128IP-IO RevB,14/10/2024,,,,4LYR,,,,,,,B,,,ML5b,OGEL,NOBUILD,SGJ,31/10/2024,Merlin,4,,,,,,,,,,Yes,,New,,4,,,,,,,,No,,,x
K50454,CO050,Confidee AS,ART04701 9101875 PCB 64006094-00,14/10/2024,,,,6PV,,,,,,,No Iss,,,ML18a,OGEL,,,,,6,,,,,,,,,,No,,New,,5,,,,,,,,,,,x
K50478,CO050,Confidee AS,ART04941 9103621 64003337-01-,21/10/2024,,,,PTH,,,,,Use CAC,,No Iss,,,,Yes,NOBUILD,DF,31/10/2024,Merlin,2,,,,,,,,,,No,,New,,,,,,,,,,,,,x
K50508,NC007,NCAB GROUP IBERIA S.A.U.,2S14730DU 250ET650000 BAT_SWITCH_PCB,28/10/2024,,,,PTH,,,,,Use Foil,,-,,,,Yes,NOBUILD,SGJ,31/10/2024,Merlin,2,,,,,,,,,,No,,New,,,,,,,,,,No,,,x
